preco_de_venda_USD,kilometragem,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,Marca
6164.38,145500.0,Diesel,Individual,Manual,1º dono,23.4,1248.0,74.0,Maruti
5068.49,120000.0,Diesel,Individual,Manual,2º dono,21.14,1498.0,103.52,Skoda
2164.38,140000.0,Gasolina,Individual,Manual,3º dono,17.7,1497.0,78.0,Honda
3082.19,127000.0,Diesel,Individual,Manual,1º dono,23.0,1396.0,90.0,Hyundai
1780.82,120000.0,Gasolina,Individual,Manual,1º dono,16.1,1298.0,88.2,Maruti
6027.4,45000.0,Gasolina,Individual,Manual,1º dono,20.14,1197.0,81.86,Hyundai
4794.52,90000.0,Diesel,Individual,Manual,1º dono,23.59,1364.0,67.1,Toyota
2739.73,169000.0,Diesel,Individual,Manual,1º dono,20.0,1399.0,68.1,Ford
6849.32,68000.0,Diesel,Individual,Manual,2º dono,19.01,1461.0,108.45,Renault
1260.27,100000.0,Gasolina,Individual,Manual,2º dono,17.3,993.0,60.0,Maruti
3835.62,140000.0,Diesel,Individual,Manual,2º dono,19.3,1248.0,73.9,Maruti
2465.75,90000.0,Gasolina,Individual,Manual,2º dono,18.9,1061.0,67.0,Maruti
5479.45,40000.0,Gasolina,Individual,Manual,1º dono,18.15,1198.0,82.0,Mahindra
6849.32,53000.0,Diesel,Individual,Manual,2º dono,23.0,1396.0,90.0,Hyundai
9315.07,100000.0,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,Hyundai
2383.56,100000.0,Diesel,Individual,Manual,2º dono,21.0,1461.0,64.1,Mahindra
13013.7,50000.0,Diesel,Individual,Manual,1º dono,25.5,1498.0,98.6,Honda
7191.78,40000.0,Diesel,Individual,Manual,1º dono,26.59,1248.0,74.0,Maruti
8219.18,72000.0,Diesel,Individual,Manual,1º dono,21.5,1248.0,88.8,Maruti
6849.32,35000.0,Gasolina,Individual,Manual,1º dono,20.3,1199.0,83.81,Tata
7876.71,45000.0,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,Maruti
3013.7,120000.0,Gasolina,Individual,Manual,1º dono,18.9,1061.0,67.0,Maruti
9178.08,70000.0,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,Maruti
10000.0,2388.0,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.83,Hyundai
8904.11,16200.0,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,Maruti
5013.7,15000.0,Gasolina,Individual,Manual,1º dono,23.95,998.0,67.1,Maruti
2054.79,42000.0,Gasolina,Individual,Manual,1º dono,20.63,1198.0,67.0,Datsun
9246.58,23300.0,Gasolina,Distribuidora,Automatico,1º dono,18.5,1197.0,83.14,Maruti
11232.86,32600.0,Diesel,Distribuidora,Manual,1º dono,24.3,1248.0,88.5,Maruti
5342.47,10300.0,Gasolina,Distribuidora,Manual,1º dono,23.95,998.0,67.05,Maruti
5821.92,49800.0,Diesel,Distribuidora,Manual,1º dono,24.7,1498.0,98.63,Honda
8219.18,54700.0,Diesel,Distribuidora,Manual,1º dono,26.0,1498.0,98.6,Honda
11643.84,64000.0,Gasolina,Distribuidora,Manual,1º dono,20.65,1462.0,103.25,Maruti
7191.78,63000.0,Diesel,Distribuidora,Manual,1º dono,27.3,1498.0,98.6,Honda
3630.14,120000.0,Diesel,Individual,Manual,1º dono,21.12,1248.0,88.8,Tata
2602.74,110000.0,Gasolina,Individual,Manual,3º dono,20.36,1197.0,78.9,Hyundai
5821.92,60000.0,Diesel,Individual,Manual,1º dono,21.27,1396.0,88.76,Hyundai
8630.14,147000.0,Diesel,Individual,Manual,2º dono,26.59,1248.0,74.0,Maruti
8219.18,25000.0,Gasolina,Individual,Manual,3º dono,18.16,1196.0,86.8,Ford
8904.11,30000.0,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,Maruti
7397.26,40000.0,Diesel,Individual,Manual,1º dono,22.0,1498.0,108.495,Volkswagen
8630.14,135000.0,Diesel,Individual,Manual,1º dono,25.1,1498.0,98.6,Honda
6136.99,30000.0,Gasolina,Individual,Automatico,1º dono,20.51,998.0,67.0,Maruti
6849.32,80000.0,Diesel,Individual,Manual,1º dono,21.66,1498.0,108.62,Volkswagen
10205.48,70000.0,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,Maruti
14041.1,9850.0,Diesel,Individual,Automatico,1º dono,24.3,1248.0,88.5,Maruti
3219.18,60000.0,Gasolina,Individual,Manual,2º dono,20.36,1197.0,78.9,Hyundai
8630.14,70000.0,Diesel,Individual,Manual,1º dono,25.2,1248.0,74.0,Maruti
6164.38,120000.0,Diesel,Individual,Manual,2º dono,22.9,1248.0,74.0,Maruti
6164.38,170000.0,Diesel,Individual,Manual,1º dono,20.54,1598.0,103.6,Volkswagen
8356.16,90000.0,Diesel,Individual,Manual,1º dono,22.77,1498.0,98.59,Ford
6643.82,10000.0,Gasolina,Distribuidora,Manual,1º dono,23.1,998.0,67.04,Maruti
3767.12,49000.0,Gasolina,Distribuidora,Manual,1º dono,19.02,1198.0,67.05,Datsun
3972.6,28000.0,Gasolina,Distribuidora,Manual,1º dono,19.81,1086.0,68.05,Hyundai
6232.88,42000.0,Gasolina,Distribuidora,Manual,1º dono,16.47,1198.0,74.0,Volkswagen
4808.22,45000.0,Gasolina,Distribuidora,Manual,2º dono,19.81,1086.0,68.05,Hyundai
7328.77,12000.0,Gasolina,Distribuidora,Manual,2º dono,15.04,1598.0,103.6,Volkswagen
2397.26,55500.0,Gasolina,Distribuidora,Manual,1º dono,18.2,998.0,67.1,Maruti
7191.78,61500.0,Gasolina,Distribuidora,Manual,1º dono,18.5,1197.0,82.85,Hyundai
8219.18,150000.0,Diesel,Individual,Manual,1º dono,26.59,1248.0,74.0,Maruti
7739.73,72000.0,Gasolina,Distribuidora,Automatico,1º dono,19.1,1197.0,82.0,Hyundai
9931.51,110000.0,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,Hyundai
2534.25,77000.0,Gasolina,Distribuidora,Manual,2º dono,21.79,998.0,67.05,Maruti
2739.73,100000.0,Diesel,Individual,Manual,2º dono,18.8,1248.0,90.0,Tata
8424.66,10000.0,Gasolina,Individual,Manual,1º dono,21.21,1197.0,81.8,Maruti
8356.16,35000.0,Gasolina,Individual,Manual,1º dono,21.4,1197.0,83.1,Maruti
5479.45,5000.0,Gasolina,Individual,Manual,2º dono,19.0,1194.0,94.68,Ford
4109.59,48000.0,Gasolina,Individual,Manual,1º dono,15.8,1172.0,65.0,Tata
5136.99,100000.0,Diesel,Individual,Manual,1º dono,19.09,1405.0,69.01,Tata
6191.77,69000.0,Diesel,Individual,Manual,1º dono,21.9,1396.0,88.76,Hyundai
6506.85,13000.0,Gasolina,Individual,Manual,1º dono,21.63,998.0,67.04,Maruti
10684.93,60000.0,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,Maruti
8150.68,40000.0,Gasolina,Individual,Manual,1º dono,20.85,1197.0,83.14,Maruti
6027.4,35000.0,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,Maruti
5479.45,70000.0,Diesel,Individual,Manual,3º dono,20.45,1461.0,83.8,Nissan
11643.84,76139.0,Diesel,Individual,Manual,1º dono,23.0,1498.0,98.96,Ford
