nome_completo_do_carro,ano,preco_de_venda_USD,km_rodado,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,assentos,preco_de_venda_USD_normalizado,consumo_do_combustivel_kmpl_normalizado,preco_de_venda_USD_binned,tipo_de_combustivel_Diesel,tipo_de_combustivel_Petrol
Maruti Swift Dzire VDI,2014,6164.3835616438355,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,-0.24966051031907616,1.0019612702011698,Baixo,1,0
Skoda Rapid 1.5 TDI Ambition,2014,5068.4931506849325,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,-0.34757338928455783,0.43721211855468,Baixo,1,0
Honda City 2017-2020 EXi,2006,2164.3835616438355,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,-0.6070425185430844,-0.4224060591727215,Baixo,0,1
Hyundai i20 Sportz Diesel,2010,3082.1917808219177,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,-0.5250404824094935,0.9020056681398444,Baixo,1,0
Maruti Swift VXI BSIII,2007,1780.8219178082193,120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,-0.6413120261810029,-0.8222284674180238,Baixo,0,1
Hyundai Xcent 1.2 VTVT E Plus,2017,6027.397260273972,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,-0.2618996201897614,0.18732311340136568,Baixo,0,1
Toyota Etios VXD,2011,4794.520547945205,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,-0.3720516090259283,1.0494401811802998,Baixo,1,0
Ford Figo Diesel Celebration Edition,2013,2739.72602739726,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,-0.5556382570862065,0.15233865267990152,Baixo,1,0
Renault Duster 110PS Diesel RxL,2014,6849.315068493151,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,-0.18846496096565007,-0.09505146242187924,Baixo,1,0
Maruti Zen LX,2005,1260.2739726027396,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,-0.6878206436896068,-0.5223616612340468,Baixo,0,1
Maruti Swift Dzire VDi,2009,3835.616438356165,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,-0.4577253781207248,-0.02258365092741829,Baixo,1,0
Maruti Wagon R LXI Minor,2009,2465.7534246575337,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,-0.5801164768275769,-0.12253925298874452,Baixo,0,1
